event_date,singups,paidmedia_offline_spend,paidmedia_online_spend,holiday
2014-01-01,4246,,41934.14,NewYearsDay
2014-01-02,6569,,54117.28,
2014-01-03,7466,,51633.65,
2014-01-04,6911,,47323.12,
2014-01-05,5929,,48323.98,
2014-01-06,6377,,60737.87,Epiphany
2014-01-07,6314,,67472.57,
2014-01-08,6729,,65002.43,
2014-01-09,7437,,70064.26,
2014-01-10,7710,,67704.25,
2014-01-11,6744,,54459.58,
2014-01-12,5978,,56448.39,
2014-01-13,6150,,64422.68,
2014-01-14,6216,,58820.69,
2014-01-15,7372,,70642.65,
2014-01-16,8274,,77679.33,
2014-01-17,8633,,78682.68,
2014-01-18,7653,,53291.09,
2014-01-19,6290,,50415.8,
2014-01-20,7086,,71109.99,
2014-01-21,6095,,72414.86,
2014-01-22,6866,,73974.56,
2014-01-23,7257,,83633.53,
2014-01-24,7646,,84054.8,
2014-01-25,7247,,65065.39,
2014-01-26,6349,,64060.45,
2014-01-27,6541,,79900.27,
2014-01-28,6490,,85452.1,
2014-01-29,6807,,73269.24,
2014-01-30,6339,,73619.39,
2014-01-31,8961,,75877.25,
2014-02-01,7731,,76952.34,
2014-02-02,5902,,74667.73,
2014-02-03,6473,,86482.53,
2014-02-04,7327,,88420.74,
2014-02-05,7408,,87254.3,
2014-02-06,7781,,86608.22,
2014-02-07,9044,,88760.19,
2014-02-08,8398,,87510.62,
2014-02-09,7720,,84711.48,
2014-02-10,8174,,100839.17,
2014-02-11,8571,,91968,
2014-02-12,8947,,89380.74,
2014-02-13,10096,,92580.98,
2014-02-14,10216,,95948.97,ValentinesDay
2014-02-15,8003,,101031.33,
2014-02-16,7971,,105710.87,
2014-02-17,8963,,125157.67,
2014-02-18,7910,,117122.48,
2014-02-19,8312,,102594.1,
2014-02-20,9313,,112854.66,
2014-02-21,9093,,108379.17,
2014-02-22,8031,,88846.52,
2014-02-23,7364,,90990.45,
2014-02-24,7825,,97327.58,
2014-02-25,9349,,101024.38,
2014-02-26,12735,,116532.23,
2014-02-27,9968,,101524.61,
2014-02-28,8379,,92193.55,
2014-03-01,7773,,86461.68,
2014-03-02,7035,,90197.01,
2014-03-03,7762,,102200.74,
2014-03-04,7918,,116431.28,
2014-03-05,9075,,104367.88,
2014-03-06,9830,,147892.42,
2014-03-07,9794,,157097.43,
2014-03-08,7603,,90042.64,
2014-03-09,7021,,90417.28,
2014-03-10,7940,,124209.01,
